证券代码,证券简称,行业名称,总市值,区间涨跌幅
000790.SZ,华神科技,医药,"2,724,313,692.88",-2.2275
000791.SZ,甘肃电投,电力及公用事业,"6,186,073,894.00",27.5915
000792.SZ,*ST盐湖,基础化工,"48,026,629,780.48",0.4545
000793.SZ,华闻集团,传媒,"5,112,948,369.92",-24.0356
000795.SZ,英洛华,建材,"6,087,883,633.11",-11.8227
000796.SZ,凯撒旅业,消费者服务,"10,840,503,483.00",48.1888
000797.SZ,中国武夷,房地产,"4,760,124,585.39",-12.0898
000798.SZ,中水渔业,农林牧渔,"3,664,148,850.00",86.5041
000799.SZ,酒鬼酒,食品饮料,"47,075,710,622.40",305.7279
000800.SZ,一汽解放,汽车,"53,333,838,072.84",16.0481
000801.SZ,四川九洲,家电,"6,331,173,138.74",14.6296
000802.SZ,北京文化,传媒,"4,087,790,456.05",-38.5361
000803.SZ,*ST北能,综合,"2,545,328,536.92",-4.2416
000806.SZ,*ST银河,电力设备及新能源,"1,825,853,524.92",-26.5487
000807.SZ,云铝股份,有色金属,"23,023,600,252.16",43.1907
000809.SZ,铁岭新城,房地产,"1,641,334,673.07",-16.0338
000810.SZ,创维数字,通信,"8,602,590,263.48",-31.9214
000811.SZ,冰轮环境,电力设备及新能源,"6,339,621,334.00",22.0802
000812.SZ,陕西金叶,轻工制造,"2,705,798,001.28",6.9929
000813.SZ,德展健康,医药,"9,078,001,290.00",-35.6121
000815.SZ,美利云,轻工制造,"3,761,373,019.35",-20.0886
000816.SZ,智慧农业,机械,"5,754,993,404.72",169.3333
000818.SZ,航锦科技,基础化工,"14,142,745,000.00",2.8209
000819.SZ,岳阳兴长,石油石化,"1,998,323,703.40",-13.0638
000820.SZ,*ST节能,电力及公用事业,"726,459,553.08",-32.1429
000821.SZ,京山轻机,机械,"4,919,470,459.20",40.832
000822.SZ,山东海化,基础化工,"3,347,643,803.24",-21.8361
000823.SZ,超声电子,电子,"6,040,867,500.00",-16.0379
000825.SZ,太钢不锈,钢铁,"20,620,417,021.52",-8.8255
000826.SZ,启迪环境,电力及公用事业,"9,670,712,579.84",-26.3617
000828.SZ,东莞控股,交通运输,"9,937,782,443.52",20.9704
000829.SZ,天音控股,商贸零售,"6,724,658,873.28",5.0617
000830.SZ,鲁西化工,基础化工,"18,706,272,135.06",29.5181
000831.SZ,五矿稀土,有色金属,"12,467,098,948.51",-1.6144
000833.SZ,粤桂股份,轻工制造,"3,014,492,348.01",-10.1572
000835.SZ,*ST长动,传媒,"594,703,880.68",-62.0833
000836.SZ,富通鑫茂,通信,"3,504,520,149.60",-21.8329
000837.SZ,*ST秦机,机械,"4,749,590,733.50",60.0467
000838.SZ,财信发展,房地产,"2,938,233,993.90",-12.6953
000839.SZ,中信国安,综合,"9,329,186,717.76",-32.7684
000848.SZ,承德露露,食品饮料,"7,577,989,760.00",1.3514
000850.SZ,华茂股份,纺织服装,"3,633,110,284.65",-3.4556
000851.SZ,高鸿股份,通信,"6,462,324,653.04",23.4461
000852.SZ,石化机械,机械,"3,499,222,486.50",-29.0221
000856.SZ,冀东装备,机械,"1,618,510,000.00",-33.7976
000858.SZ,五粮液,食品饮料,"1,090,731,849,405.00",114.1073
000859.SZ,国风塑业,基础化工,"3,793,377,114.90",-10.1601
000860.SZ,顺鑫农业,食品饮料,"51,107,745,542.10",31.1337
000861.SZ,海印股份,商贸零售,"6,441,484,278.76",12.468
000862.SZ,银星能源,电力设备及新能源,"3,290,514,526.02",-7.5397
000863.SZ,三湘印象,房地产,"5,550,192,964.80",5.7651
000868.SZ,ST安凯,汽车,"3,006,649,588.80",-23.5075
000869.SZ,张裕A,食品饮料,"22,763,351,666.32",54.2907
000875.SZ,吉电股份,电力及公用事业,"9,186,223,834.40",36.3057
000876.SZ,新希望,农林牧渔,"101,005,329,511.32",12.9659
000877.SZ,天山股份,建材,"15,940,588,976.80",33.3412
000878.SZ,云南铜业,有色金属,"24,101,441,980.80",3.8067
000880.SZ,潍柴重机,机械,"2,515,275,555.00",16.6139
000881.SZ,中广核技,电力设备及新能源,"10,144,418,994.95",56.6045
000882.SZ,华联股份,商贸零售,"5,146,221,660.36",-16.4444
000883.SZ,湖北能源,电力及公用事业,"25,509,201,985.12",-3.5848
000885.SZ,城发环境,交通运输,"7,294,008,976.80",14.5638
000886.SZ,海南高速,交通运输,"4,865,035,236.00",19.4615
000887.SZ,中鼎股份,汽车,"13,978,578,257.05",29.3593
000888.SZ,峨眉山A,消费者服务,"3,098,249,039.76",-8.8178
000889.SZ,中嘉博创,通信,"5,074,697,848.72",-18.8599
000890.SZ,*ST胜尔,综合,"1,170,416,070.72",-49.0876
000892.SZ,欢瑞世纪,传媒,"2,589,788,448.72",-47.3054
000893.SZ,亚钾国际,基础化工,"6,486,661,041.04",40.9539
000895.SZ,双汇发展,食品饮料,"156,221,574,094.17",61.3779
